MPN,model,upc_ean,product_name,Vendor Name,long_description,short_description,Product Category,Type,msrp,base_price,Tags,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Un Finished Price ,Finished Price ,Image Src,Image Position,Key Features,stock,Height,Width,Depth,Length,Unit
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Oak,,,,,AL-V24-OK,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Brown Maple,,,,,AL-V24-BM,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Rustic Quartersawn White Oak,,,,,AL-V24-RQ,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Sap Cherry,,,,,AL-V24-SC,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Cherry,,,,,AL-V24-CH,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Hickory,,,,,AL-V24-HK,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"24"" Width",,Wood Type,Quartersawn White Oak,,,,,AL-V24-QS,100,110,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V24.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,24,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Oak,,,,,A L-V30-OK,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Brown Maple,,,,,A L-V30-BM,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Rustic Quartersawn White Oak,,,,,A L-V30-RQ,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Sap Cherry,,,,,A L-V30-SC,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Cherry,,,,,A L-V30-CH,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Hickory,,,,,A L-V30-HK,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V24 & A L-V30,Allison Vanity,AL-V24 & A L-V30,Amish Allison Vanity,Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 24, 24"", 30, 30"", vanity",Size,"30"" Width",,Wood Type,Quartersawn White Oak,,,,,A L-V30-QS,110,120,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-allison-AL-V30.jpg?v=1746525847,1,"Handcrafted by Amish Allison for exceptional craftsmanship

Solid hardwood construction ensures long-lasting durability

Open design offers a minimalist and elegant vanity setup

Perfect for pairing with a stool and mirror in classic or contemporary spaces",,34.5,30,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Oak,,,,,,,,AL-V36-OK,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Brown Maple,,,,,,,,AL-V36-BM,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Rustic Quartersawn White Oak,,,,,,,,AL-V36-RQ,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Sap Cherry,,,,,,,,AL-V36-SC,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Cherry,,,,,,,,AL-V36-CH,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Hickory,,,,,,,,AL-V36-HK,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
AL-V36,"Allison 36"" Vanity",AL-V36,"Amish Allison 36"" Vanity",Country Meadow,,,Furniture > Furniture Sets > Bathroom Furniture Sets,Bathroom Vanity,,,"allison, 36, 36"", vanity",Wood Type,Quartersawn White Oak,,,,,,,,AL-V36-QS,120,130,https://cdn.shopify.com/s/files/1/1941/0793/files/vanity-36inch-allison-AL-V36.jpg?v=1746525847,1,"Handcrafted by Amish Allison for superior craftsmanship

Solid hardwood construction ensures durability and strength

36"" width provides ample surface space for daily use

Sleek, drawer-free design ideal for minimalist and modern bathroom styles",,34.5,36,21,,inch
